qid,original_id,topic,board_clue,correct_answer,common_trap,why_trap_is_wrong
232,234.1,Pharmacology (General Principles) (Mechanisms of action),A 71-year-old man returns to the clinic for follow-up of worsening lower urinary tract symptoms.,Add finasteride to current therapy,Discontinue tamsulosin and start terazosin,"Similar-looking mechanism/class, but not the best match for the board clue."
233,235.1,Pharmacology (General Principles) (Mechanisms of action),A 64-year-old woman comes to the cardiology clinic for evaluation of exertional fatigue and intermittent chest discomfort over the past three months.,Phosphodiesterase-3 inhibitor,Beta-2 adrenergic receptor agonists,"Similar-looking mechanism/class, but not the best match for the board clue."
234,236.1,Pharmacology (General Principles) (Mechanisms of action),A 72-year-old woman is admitted for elective hip replacement surgery.,Activates antithrombin III,Direct thrombin inhibition,"Similar-looking mechanism/class, but not the best match for the board clue."
235,237.1,Pharmacology (General Principles) (Mechanisms of action),A 31-year-old man with a long-standing diagnosis of schizophrenia is started on a new oral medication to control his psychotic symptoms.,Oculogyric crisis,Blepharospasm,"Similar-looking mechanism/class, but not the best match for the board clue."
236,238.1,Pharmacology (General Principles) (Mechanisms of action),A 28-year-old man from Indonesia presents for a pre-enlistment physical examination required for military service.,Ethambutol,Digoxin,"Similar-looking mechanism/class, but not the best match for the board clue."
237,239.1,Pharmacology (General Principles) (Mechanisms of action),A 59-year-old man comes to the clinic for follow-up evaluation.,Aldosterone receptor antagonist,Alpha-1 adrenergic blocker,"Similar-looking mechanism/class, but not the best match for the board clue."
238,240.1,Pharmacology (General Principles) (Mechanisms of action),A 47-year-old woman comes to the physician because of a 3-month history of progressive muscle fatigue.,Inhibitor of acetylcholinesterase,Agonist at nicotinic acetylcholine receptors,"Similar-looking mechanism/class, but not the best match for the board clue."
239,241.1,Pharmacology (General Principles) (Mechanisms of action),"A 62-year-old man presents to the emergency department with progressive shortness of breath, orthopnea, and swelling in his legs.",,,"Similar-looking mechanism/class, but not the best match for the board clue."
240,3.2,General,mEq/L.,Basolateral Na⁺/K⁺ ATPase in the thick ascending limb,Apical Na⁺/K⁺ ATPase in the thick ascending limb,"Similar-looking mechanism/class, but not the best match for the board clue."
241,243.1,General,A 22-year-old woman is brought to the emergency department by emergency medical services after being found unresponsive in the bathroom of a friend’s apartment.,Administer intravenous naloxone,Administer activated charcoal,"Similar-looking mechanism/class, but not the best match for the board clue."
242,244.1,Pharmacology (General Principles) (Mechanisms of action),A 32-year-old man comes to the clinic for follow-up after starting treatment for a newly diagnosed infection.,Inhibition of RNA-dependent DNA polymerase by causing chain termination,Binding to gp41 to prevent viral entry into host cells,"Similar-looking mechanism/class, but not the best match for the board clue."
243,245.1,Pharmacology (General Principles) (Mechanisms of action),A 70-year-old man presents to the clinic for routine follow-up after hospital discharge.,Direct inhibition of factor Xa,Direct inhibition of factor IIa,"Similar-looking mechanism/class, but not the best match for the board clue."
244,246.1,Pharmacology (General Principles) (Mechanisms of action),A 59-year-old man is brought to the emergency department because of severe substernal chest pain that began suddenly 45 minutes ago while he was walking to the store.,Inhibits conversion of arachidonic acid to thromboxane A₂,Direct inhibition of thrombin activity,"Similar-looking mechanism/class, but not the best match for the board clue."
245,247.1,Pulmonary & Critical Care (Critical care medicine),"A 34-year-old man is brought to the emergency department by his wife due to sudden-onset vomiting, tremors, and restlessness.",Theophylline toxicity,Anticholinergic poisoning,"Similar-looking mechanism/class, but not the best match for the board clue."
246,248.1,General,"A 26-year-old woman presents with vulvar itching, burning, and white vaginal discharge for the past 3 days.",Oral fluconazole,Oral clindamycin,"Similar-looking mechanism/class, but not the best match for the board clue."
247,249.1,Biochemistry (General Principles) (Acid/base disorders),"A 25-year-old man is brought to the emergency department by his roommate, who found him in the kitchen holding an empty bottle of over-the-counter medication.","↑ pH, ↔ HCO₃⁻, ↓ CO₂","↑ pH, ↓ HCO₃⁻, ↓ CO₂","Similar-looking mechanism/class, but not the best match for the board clue."
248,250.1,Biochemistry (General Principles) (Cell and molecular biology),"A 66-year-old woman with a history of obesity and chronic cholelithiasis presents with progressive weight loss, abdominal discomfort, and jaundice.",Topoisomerase I,Dihydrofolate reductase,"Similar-looking mechanism/class, but not the best match for the board clue."
249,251.1,Biochemistry (General Principles) (Cell and molecular biology),A 14-year-old girl is brought to the physician by her mother because of ongoing behavioral and mood disturbances.,Binding of RNA polymerase to promoter regions,Assembly of ribosomes on mature mRNA,"Similar-looking mechanism/class, but not the best match for the board clue."
250,252.1,Biochemistry (General Principles) (Cellular enzymes),"A 66-year-old woman with a history of obesity and chronic cholelithiasis presents with progressive weight loss, abdominal discomfort, and jaundice.",Topoisomerase I,Dihydrofolate reductase,"Similar-looking mechanism/class, but not the best match for the board clue."
251,253.1,Biochemistry (General Principles) (Cellular enzymes),"A 45-year-old woman with a history of asthma presents to her primary care physician with a 2-week history of insomnia, tremors, and palpitations.",Inhibition of cytochrome P450 enzymes,Activation of beta-2 adrenergic receptors,"Similar-looking mechanism/class, but not the best match for the board clue."
252,254.1,"Ear, Nose & Throat (ENT) (Upper respiratory tract illnesses)","A 19-year-old college student comes to the clinic due to sore throat, fatigue, and mild fever for the past week.",Infectious mononucleosis,Group A Streptococcus pharyngitis,"Similar-looking mechanism/class, but not the best match for the board clue."
253,3.0,Hematology & Oncology (Disorders of RBCs and hemoglobin),A 65-year-old man comes to the clinic due to worsening fatigue and reduced exercise tolerance.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
254,9.8,Infectious Diseases (Bacterial infections),g/dL Hematocrit 30% MCV 85 fL Serum ferritin 230 ng/mL Serum iron 40 µg/dL,,,"Similar-looking mechanism/class, but not the best match for the board clue."
255,255.1,Microbiology (General Principles) (Bacteriology),Which of the following is the most appropriate treatment for this patient’s anemia?,Oral iron supplementation,Erythropoietin therapy,"Similar-looking mechanism/class, but not the best match for the board clue."
256,256.1,Microbiology (General Principles) (Bacteriology),A 4-month-old infant is brought to the clinic due to poor feeding and progressive weakness.,Inhibits reuptake of norepinephrine into presynaptic neurons,Antibody-mediated inhibition of acetylcholine receptors,"Similar-looking mechanism/class, but not the best match for the board clue."
257,259.1,Microbiology (General Principles) (Mycology),"A 28-year-old man presents to the clinic with a 1-week history of pruritic, burning sensations on the soles of his feet and between his toes.",Squalene epoxidase,Dihydrofolate reductase,"Similar-looking mechanism/class, but not the best match for the board clue."
258,260.1,Microbiology (General Principles) (Mycology),A 25-year-old man comes to clinic for evaluation of a recurrent rash on his upper back and shoulders.,,Oral fluconazole for patient and close contacts,"Similar-looking mechanism/class, but not the best match for the board clue."
259,261.1,Microbiology (General Principles) (Parasitology),"A 28-year-old woman presents to the clinic with 5 days of frothy, malodorous vaginal discharge and vulvar irritation.",Oral metronidazole,Intramuscular ceftriaxone,"Similar-looking mechanism/class, but not the best match for the board clue."
260,262.1,Pharmacology (General Principles) (HY Adverse effects),A 58-year-old man is being treated for Hodgkin lymphoma.,Doxorubicin,Amphotericin B,"Similar-looking mechanism/class, but not the best match for the board clue."
261,263.1,General,"A 28-year-old woman is brought to the emergency department by her roommate due to altered behavior, agitation, and muscle stiffness.",Administer cyproheptadine,Administer bromocriptine,"Similar-looking mechanism/class, but not the best match for the board clue."
262,264.1,General,A 72-year-old man presents to the clinic with a 3-day history of sudden pain in the back of his right ankle.,Adverse effect of fluoroquinolone,Chronic glucocorticoid use,"Similar-looking mechanism/class, but not the best match for the board clue."
263,265.1,Pharmacology (General Principles) (HY Adverse effects),A 67-year-old man comes to the clinic due to progressive swelling in his lower extremities over the past 3 weeks.,Adverse drug effect,Chronic venous insufficiency,"Similar-looking mechanism/class, but not the best match for the board clue."
264,266.1,Pharmacology (General Principles) (HY use-cases),A 52-year-old woman presents to the clinic due to recurring episodes of sharp facial pain for the past 2 months.,Carbamazepine,Amitriptyline,"Similar-looking mechanism/class, but not the best match for the board clue."
265,267.1,Pharmacology (General Principles) (HY use-cases),"A 42-year-old woman comes to the physician because of a 3-month history of persistent nausea, decreased appetite, and a burning sensation in her hands and feet.",Isoniazid,Metronidazole,"Similar-looking mechanism/class, but not the best match for the board clue."
266,268.1,Pharmacology (General Principles) (HY use-cases),A 30-year-old woman comes to the clinic for evaluation of chronic sleep disturbance.,Pramipexole,Amantadine,"Similar-looking mechanism/class, but not the best match for the board clue."
267,269.1,Pharmacology (General Principles) (HY use-cases),"A 68-year-old man with a history of type 2 diabetes mellitus, chronic heart failure with reduced ejection fraction, and hypertension comes to the emergency department because of progressive fatigue and shortness of breath over the past 3 days.",Medication adverse effect,Acute heart failure,"Similar-looking mechanism/class, but not the best match for the board clue."
268,270.1,Pharmacology (General Principles) (HY use-cases),A 78-year-old woman is brought to the clinic by her daughter due to worsening memory loss and functional decline.,Donepezil,Memantine,"Similar-looking mechanism/class, but not the best match for the board clue."
269,271.1,Pharmacology (General Principles) (HY use-cases),A 32-year-old man comes to the emergency department because of sudden shortness of breath and bluish discoloration of his lips and fingertips.,Dapsone,Amiodarone,"Similar-looking mechanism/class, but not the best match for the board clue."
270,272.1,Pharmacology (General Principles) (HY use-cases),A 41-year-old man is brought to the emergency department by coworkers because of progressive shortness of breath and bluish discoloration of the lips and fingertips that developed suddenly during a night shift.,Methylene blue,Albuterol,"Similar-looking mechanism/class, but not the best match for the board clue."
271,273.1,Pharmacology (General Principles) (Mechanisms of action),"A 72-year-old man with Parkinson disease is brought to the emergency department by his wife due to sudden-onset confusion, fever, and muscle rigidity.",Selegiline,Amantadine,"Similar-looking mechanism/class, but not the best match for the board clue."
272,274.1,Pharmacology (General Principles) (Mechanisms of action),A 54-year-old man comes to the clinic for management of hyperlipidemia.,Upregulating low-density lipoprotein receptors on hepatocytes,"71-year-old man comes to the anticoagulation clinic for routine monitoring. He underwent aortic valve replacement with a mechanical prosthesis three months ago due to severe aortic stenosis. His medical history also includes hypertension and type 2 diabetes mellitus, both well controlled with lisinopril and metformin. He has no current symptoms. His blood pressure is 132/74 mmHg and pulse is 78/min and regular. Laboratory testing today shows an international normalized ratio (INR) of 2.6. He reports good medication adherence and no recent changes in diet or medications. The drug he is taking to prevent thromboembolism after valve replacement primarily works by which of the following mechanisms?","Similar-looking mechanism/class, but not the best match for the board clue."
273,275.1,Pharmacology (General Principles) (Mechanisms of action),Activates antithrombin III,Inhibits vitamin K epoxide reductase,Direct factor Xa inhibition,"Similar-looking mechanism/class, but not the best match for the board clue."
274,4.8,Pharmacology (General Principles) (Mechanisms of action),A 42-year-old man with newly diagnosed Burkitt lymphoma is admitted for his first cycle of chemotherapy.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
275,9.2,Pharmacology (General Principles) (Mechanisms of action),"mg/dL, phosphate",,,"Similar-looking mechanism/class, but not the best match for the board clue."
276,4.6,Pharmacology (General Principles) (Mechanisms of action),"mg/dL, uric acid",,,"Similar-looking mechanism/class, but not the best match for the board clue."
277,8.5,Pharmacology (General Principles) (Mechanisms of action),"mg/dL, and creatinine",,,"Similar-looking mechanism/class, but not the best match for the board clue."
278,0.9,Pharmacology (General Principles) (Mechanisms of action),mg/dL.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
279,281.1,General,A 64-year-old man with a 25-year history of poorly controlled type II diabetes mellitus presents to the outpatient clinic with a 4-month history of urinary leakage.,Bethanechol therapy,Alpha-1 receptor blocker,"Similar-looking mechanism/class, but not the best match for the board clue."
280,282.1,Pharmacology (General Principles) (Mechanisms of action),A 48-year-old woman comes to the clinic because she has noticed urinary leakage over the past several months.,Pelvic floor muscle exercises,Alpha-1 adrenergic agonist,"Similar-looking mechanism/class, but not the best match for the board clue."
281,283.1,Pharmacology (General Principles) (Mechanisms of action),A 45-year-old woman comes to the clinic due to worsening shortness of breath and chest tightness over the past several months.,Add salmeterol to her current regimen,Begin an oral prednisone taper,"Similar-looking mechanism/class, but not the best match for the board clue."
282,284.1,Pharmacology (General Principles) (Mechanisms of action),"A 47-year-old man is brought to the emergency department by his partner due to episodes of shaking, nausea, and vomiting over the past day.",Enhancement of the effect of postsynaptic GABA,Blockade of central dopamine D2 receptors,"Similar-looking mechanism/class, but not the best match for the board clue."
283,2.0,Pharmacology (General Principles) (Mechanisms of action),"A 72-year-old woman comes to the emergency department with progressive fatigue, decreased appetite, and swelling in her lower extremities over the past 10 days.",,,"Similar-looking mechanism/class, but not the best match for the board clue."
284,285.1,Pharmacology (General Principles) (Mechanisms of action),Potassium,,,"Similar-looking mechanism/class, but not the best match for the board clue."
285,5.3,Pharmacology (General Principles) (Mechanisms of action),mEq/L Which of the following medications is the most likely cause of this patient's current condition?,Hydrochlorothiazide,Amlodipine,"Similar-looking mechanism/class, but not the best match for the board clue."
286,286.1,Pharmacology (General Principles) (Mechanisms of action),"A 25-year-old man with a history of schizophrenia is brought to the emergency department by his roommate due to increasing confusion, restlessness, and decreased oral intake for the past 2 days.",,Acute decompensation of schizophrenia,"Similar-looking mechanism/class, but not the best match for the board clue."
287,289.1,Pharmacology (General Principles) (Mechanisms of action),A 46-year-old man comes to the endocrinology clinic for follow-up of acromegaly diagnosed 2 years ago.,Dopamine-2 (D2) receptor agonism,Antagonism of gonadotropin-releasing hormone receptors in the anterior pituitary,"Similar-looking mechanism/class, but not the best match for the board clue."
288,290.1,Pharmacology (General Principles) (Mechanisms of action),A 72-year-old man comes to the cardiology clinic for follow-up of worsening shortness of breath over the past 2 months.,Inhibition of membrane Na⁺–K⁺ ATPase activity,Blockade of β1-adrenergic receptors in cardiac tissue,"Similar-looking mechanism/class, but not the best match for the board clue."
289,291.1,Pharmacology (General Principles) (Mechanisms of action),"A 19-year-old woman presents to the clinic with a 7-month history of worsening acne on her face, chest, and upper back.",Activation of nuclear gene transcription,Binding to 30S ribosomal subunit,"Similar-looking mechanism/class, but not the best match for the board clue."
290,292.1,Pharmacology (General Principles) (Mechanisms of action),"A 36-year-old woman is admitted to the hospital because of progressive cough, fever, weight loss, and night sweats over the past 6 weeks.",Granuloma maintenance,Activation of complement to directly lyse bacteria,"Similar-looking mechanism/class, but not the best match for the board clue."
291,293.1,Pharmacology (General Principles) (Mechanisms of action),A 49-year-old man presents to the rheumatology clinic with worsening pain and stiffness in his hands and wrists.,Binding circulating TNF-α with a soluble receptor decoy,Direct monoclonal antibody binding to TNF-α to neutralize activity,"Similar-looking mechanism/class, but not the best match for the board clue."
292,294.1,Pharmacology (General Principles) (Mechanisms of action),A 46-year-old woman presents to the emergency department with progressive muscle weakness.,Inhibition of acetylcholinesterase enzyme activity,Direct agonism of the nicotinic acetylcholine receptor,"Similar-looking mechanism/class, but not the best match for the board clue."
293,295.1,Pharmacology (General Principles) (Mechanisms of action),"A 24-year-old woman is brought to the emergency department by her roommate, who found her difficult to arouse in bed.",Diazepam,Fentanyl,"Similar-looking mechanism/class, but not the best match for the board clue."
294,296.1,Pharmacology (General Principles) (Mechanisms of action),"A 26-year-old woman presents to her primary care physician with a 5-day history of worsening cough, fever, and malaise.","Binds 50S ribosomal subunit, 23S rRNA","Binds 30S ribosomal subunit, decoding site","Similar-looking mechanism/class, but not the best match for the board clue."
295,297.1,Pharmacology (General Principles) (Mechanisms of action),A 10-year-old boy is brought for neurologic evaluation because of ongoing episodes that interfere with school performance.,Sodium,Calcium,"Similar-looking mechanism/class, but not the best match for the board clue."
296,298.1,Pharmacology (General Principles) (Pharmacokinetics/dynamics),A 75-year-old man comes to clinic for routine follow-up.,Prothrombin time,Activated partial thromboplastin time,"Similar-looking mechanism/class, but not the best match for the board clue."
297,299.1,Biochemistry (General Principles) (Receptors & extracellular matrix molecules),"A 22-year-old woman with type 1 diabetes mellitus is found unconscious by her roommate, who reports that the patient had been studying late the night before and skipped breakfast.",Increased cAMP,Decreased cytosolic calcium,"Similar-looking mechanism/class, but not the best match for the board clue."
298,8.4,"Biochemistry (General Principles) (Vitamins, cofactors, nutrients)",A 35-year-old woman comes to the clinic due to persistent fatigue and intermittent headaches over the past month.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
299,300.1,Hematology & Oncology (Disorders of RBCs and hemoglobin),Bone marrow biopsy confirms a diagnosis consistent with a t(15;17) translocation.,Immune checkpoint inhibition via PD-1 receptor blockade,Antibody-dependent cellular cytotoxicity via CD20 targeting,"Similar-looking mechanism/class, but not the best match for the board clue."
300,302.1,Microbiology (General Principles) (Bacteriology),"A 24-year-old woman presents to the clinic with fever, chills, and lower abdominal pain for the past 3 days.",Neisseria gonorrhoea,Chlamydia trachomatis,"Similar-looking mechanism/class, but not the best match for the board clue."
301,2.3,Microbiology (General Principles) (Bacteriology),A 63-year-old man is hospitalized for treatment of a gram-negative bacteremia.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
302,303.1,Microbiology (General Principles) (Bacteriology),"proteinuria, granular casts, and no eosinophils.",Cyclophosphamide,Amikacin,"Similar-looking mechanism/class, but not the best match for the board clue."
303,3.1,Microbiology (General Principles) (Parasitology),A 63-year-old man is hospitalized for treatment of a complicated urinary tract infection caused by a Gram-negative bacillus.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
304,8.9,Pathology (General Principles) (Neoplasia),A 66-year-old man returns for follow-up 10 days after starting treatment for a newly diagnosed malignancy.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
305,306.1,General,"White blood cells 2,300/mm³ Absolute neutrophil count 850/mm³ Which of the following tissues is most likely affected by the medication this patient is receiving?",Neurons,"Bone marrow, gut mucosa, and hair follicles","Similar-looking mechanism/class, but not the best match for the board clue."
306,307.1,General,,Drug X is a competitive antagonist of Drug Y,Drug Y is a non-competitive antagonist of Drug X,"Similar-looking mechanism/class, but not the best match for the board clue."
307,308.1,General,A 68-year-old man comes to the clinic for follow-up of his Parkinson disease.,Inhibits central monoamine oxidase B,Blocks dopamine receptors in the basal ganglia,"Similar-looking mechanism/class, but not the best match for the board clue."
308,0.56,Pharmacology (General Principles) (Drug receptors),"A 64-year-old man presents with chronic cough, intermittent wheezing, and progressive exertional dyspnea.",,,"Similar-looking mechanism/class, but not the best match for the board clue."
309,310.1,Pharmacology (General Principles) (Drug receptors),Milrinone (PDE-3 inhibitor),,Roflumilast (PDE-4 inhibitor),"Similar-looking mechanism/class, but not the best match for the board clue."
310,311.1,Pharmacology (General Principles) (HY Adverse effects),A 32-year-old woman presents with a 2-week history of progressive difficulty coordinating her movements and frequent stumbling.,Bethanechol,Baclofen,"Similar-looking mechanism/class, but not the best match for the board clue."
311,313.1,Pharmacology (General Principles) (HY Adverse effects),"A 22-year-old woman presents to the emergency department with nausea, right upper quadrant abdominal pain, and vomiting.",Cytochrome P450 enzymes induction that gives rise to a hepatotoxic metabolite of acetaminophen,Decreased acetaminophen clearance via glucuronidation,"Similar-looking mechanism/class, but not the best match for the board clue."
312,314.1,Pharmacology (General Principles) (HY Adverse effects),"A 38-year-old man presents to the emergency department due to progressive fatigue, difficulty swallowing, and painful skin lesions.",T-cell mediated cytotoxicity,Antibody-dependent cellular cytotoxicity,"Similar-looking mechanism/class, but not the best match for the board clue."
313,315.1,General,A 65-year-old man passes away from advanced lupus nephritis.,Cytokine-mediated effects facilitated by medication,Advanced renal disease with pseudofractures,"Similar-looking mechanism/class, but not the best match for the board clue."
314,316.1,Pharmacology (General Principles) (HY use-cases),"A 33-year-old woman presents to the emergency department with high fever, fatigue, and painful oral ulcers that began 1 day ago.",Neutropenic fever,Drug-induced mucositis,"Similar-looking mechanism/class, but not the best match for the board clue."
315,317.1,Pharmacology (General Principles) (Mechanisms of action),A 52-year-old man comes to the clinic due to 3 months of worsening joint stiffness and pain in both hands and wrists.,Inhibits dihydrofolate reductase,Inhibits bacterial DNA gyrase,"Similar-looking mechanism/class, but not the best match for the board clue."
316,318.1,Pharmacology (General Principles) (Mechanisms of action),A 59-year-old man comes to the clinic due to chest discomfort during physical activity that has been occurring for the past 4 months.,Decreased myocardial wall stress through venodilation,Decreased intracellular calcium through L-type calcium channel blockade,"Similar-looking mechanism/class, but not the best match for the board clue."
317,319.1,Pharmacology (General Principles) (Mechanisms of action),A 37-year-old man is brought to the emergency department by coworkers after he collapsed while working on a rural farm.,Wearing gloves,Avoiding use of insecticides,"Similar-looking mechanism/class, but not the best match for the board clue."
318,320.1,Pharmacology (General Principles) (Mechanisms of action),A 72-year-old man comes to the clinic for routine follow-up.,Inhibition of ADP P2Y12 receptor on platelets,Direct thrombin (factor IIa) inhibition,"Similar-looking mechanism/class, but not the best match for the board clue."
319,321.1,Pharmacology (General Principles) (Mechanisms of action),A 68-year-old man is brought to the emergency department by his wife after he developed sudden weakness on the left side of his body and difficulty speaking while eating breakfast.,Converts plasminogen to plasmin,Activates antithrombin III to inhibit factor Xa and thrombin,"Similar-looking mechanism/class, but not the best match for the board clue."
320,322.1,Pharmacology (General Principles) (Mechanisms of action),A 15-year-old boy with a history of moderate persistent asthma comes to the pulmonology clinic for follow-up.,Inhibits 5-lipoxygenase enzyme activity,Blocks leukotriene receptors,"Similar-looking mechanism/class, but not the best match for the board clue."
321,323.1,Pharmacology (General Principles) (Mechanisms of action),"A 29-year-old man presents to the clinic with a 6-day history of fever, headache, and myalgia after returning from a hiking trip in rural North Carolina.",Binds the 30S ribosomal subunit and prevents aminoacyl-tRNA attachment,Binds the 50S ribosomal subunit and inhibits translocation,"Similar-looking mechanism/class, but not the best match for the board clue."
322,2.1,General,"A 69-year-old man presents to the clinic due to reduced appetite, mild fatigue, decreased urine output, and progressive lower extremity swelling over the past 2 weeks.",,,"Similar-looking mechanism/class, but not the best match for the board clue."
323,325.1,Pharmacology (General Principles) (Mechanisms of action),"A 29-year-old woman presents to the emergency department due to sudden-onset shortness of breath, facial flushing, and chest tightness that began approximately 2 hours ago.",Aspirin,Acetaminophen,"Similar-looking mechanism/class, but not the best match for the board clue."
324,326.1,Pharmacology (General Principles) (Mechanisms of action),"A 44-year-old man is brought to the emergency department by his wife for severe confusion, agitation, and visual hallucinations.",Diazepam,Clonidine,"Similar-looking mechanism/class, but not the best match for the board clue."
325,327.1,Pharmacology (General Principles) (Mechanisms of action),A 62-year-old woman comes to the clinic due to a persistent cough for the past 3 weeks.,Bradykinin and substance P accumulation in the respiratory tract,Activation of β2-adrenergic receptors in the bronchial smooth muscle,"Similar-looking mechanism/class, but not the best match for the board clue."
326,328.1,Pharmacology (General Principles) (Mechanisms of action),A 71-year-old woman presents to her primary care physician for follow-up after hospitalization for an ischemic stroke 2 months ago.,"Directly inhibits factor IIa activity, preventing conversion of fibrinogen to fibrin","Directly inhibits factor Xa activity, preventing conversion of prothrombin to thrombin","Similar-looking mechanism/class, but not the best match for the board clue."
327,329.1,Pharmacology (General Principles) (Mechanisms of action),A 41-year-old man comes to the clinic for routine follow-up of his HIV infection.,"Inhibition of HIV integrase, preventing insertion of viral DNA into host genome",Binding to gp41 to prevent fusion of viral and host membranes,"Similar-looking mechanism/class, but not the best match for the board clue."
328,330.1,Pharmacology (General Principles) (Mechanisms of action),"A 32-year-old man returns from a 3-week trip to rural India and presents with cyclical fevers, chills, headaches, and malaise that have recurred every other day for the past week.",Targets latent exoerythrocytic forms in the liver,Eliminates chloroquine-resistant strains of Plasmodium falciparum,"Similar-looking mechanism/class, but not the best match for the board clue."
329,15.8,Psychiatry (Substance and drug use),A 57-year-old man is hospitalized for laparoscopic resection of hepatocellular carcinoma.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
330,2.2,Psychiatry (Substance and drug use),g/dL Total bilirubin,,,"Similar-looking mechanism/class, but not the best match for the board clue."
331,3.1,General,mg/dL AST 66 U/L ALT 98 U/L,,,"Similar-looking mechanism/class, but not the best match for the board clue."
332,334.1,General,A 24-year-old woman with major depressive disorder has recently been started on a new medication.,Inhibits reuptake of serotonin,Blocks reuptake of dopamine and norepinephrine,"Similar-looking mechanism/class, but not the best match for the board clue."
333,335.1,General,"A 36-year-old woman, gravida 1 para 1, presents to the clinic with concerns about persistent milky white discharge from both nipples for the past 4 months.",Bromocriptine therapy,Application of ice packs to the breasts,"Similar-looking mechanism/class, but not the best match for the board clue."
334,10.2,General,"A 62-year-old woman presents to her primary care physician with a 2-day his- tory of severe pain, swelling, and redness in her right big toe.",,,"Similar-looking mechanism/class, but not the best match for the board clue."
335,337.1,General,A 44-year-old man is brought to the emergency department after being found confused and unresponsive at home.,Increased cGMP,Decreased intracellular cAMP,"Similar-looking mechanism/class, but not the best match for the board clue."
336,338.1,General,"A 47-year-old woman presents with several weeks of profuse, watery diarrhea that persists even when she is fasting.",Somatostatin,Aldosterone,"Similar-looking mechanism/class, but not the best match for the board clue."
337,339.1,General,"A 42-year-old woman with no significant past medical history presents to the emergency department after sudden onset of facial swelling, widespread urticaria, and severe shortness of breath following ingestion of peanuts.",Agonism of beta-2 adrenergic receptors,Agonism of dopamine receptors,"Similar-looking mechanism/class, but not the best match for the board clue."
338,0.01,General,"A 28-year-old woman at 10 weeks gestation comes to the clinic due to persistent fatigue, anxiety, and difficulty sleeping over the past three months.",,,"Similar-looking mechanism/class, but not the best match for the board clue."
339,4.5,General,ng/dL Total T3 270 ng/dL She is started on appropriate pharmacologic therapy for her condition.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
340,340.1,General,mechanism of action of the drug used?,Inhibits thyroid peroxidase and 5’-deiodinase,Blocks H+/K+ ATPase in gastric parietal cells,"Similar-looking mechanism/class, but not the best match for the board clue."
341,1.0,General,A 54-year-old man comes to the clinic due to persistent swelling in his legs and increasing abdominal distension over the past several months.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
342,343.1,General,additional medication?,"↑ renin, ↑ angiotensin I, ↑ angiotensin II, ↑ aldosterone, ↓ K⁺","↓ renin, ↓ angiotensin I, ↓ angiotensin II, ↓ aldosterone, ↓ K⁺","Similar-looking mechanism/class, but not the best match for the board clue."
343,5.0,General,A 62-year-old man is started on lisinopril for newly diagnosed hypertension.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
344,5.4,General,A 67-year-old man with long-standing hypertension and recent diagnosis of heart failure with reduced ejection fraction is started on spironolactone as part of guideline-directed medical therapy.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
345,4.5,General,"mEq/L), sodium 138 mEq/L, and creatinine",,,"Similar-looking mechanism/class, but not the best match for the board clue."
346,1.2,General,mg/dL.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
347,349.1,General,A 30-year-old woman with a known parathyroid adenoma is started on a new medication as part of her treatment.,"↓ Serum Ca²⁺, ↑ Serum PO₄³⁻, ↓ Urinary Ca²⁺, ↓ PTH","↑ Serum Ca²⁺, ↑ Serum PO₄³⁻, ↑ Urinary Ca²⁺, ↑ PTH","Similar-looking mechanism/class, but not the best match for the board clue."
348,350.1,General,A 59-year-old man comes to the pulmonary clinic due to progressive shortness of breath and bilateral leg swelling over the past several months.,Blocks endothelin-1 receptors,Activates beta-2 adrenergic receptors,"Similar-looking mechanism/class, but not the best match for the board clue."
349,351.1,General,A 59-year-old man comes to the clinic due to persistent fatigue and occasional cramping in his left calf while walking long distances.,Inhibition of HMG-CoA reductase,Activation of peroxisome proliferator–activated receptor-alpha,"Similar-looking mechanism/class, but not the best match for the board clue."
350,352.1,General,A 22-year-old man comes to the clinic for evaluation of infertility.,"↓ LH, ↓ intra-testicular testosterone","↑ LH, ↑ intra-testicular testosterone","Similar-looking mechanism/class, but not the best match for the board clue."
351,353.1,General,A 27-year-old woman presents with concerns about persistent nipple discharge and irregular menstrual periods.,Agonism at dopamine D2 receptors in the anterior pituitary,Activation of dopamine D1 receptors in the hypothalamus,"Similar-looking mechanism/class, but not the best match for the board clue."
352,354.1,General,A 36-year-old man presents to the clinic for follow-up after a recent episode of and is now asymptomatic.,Enhances renal calcium reabsorption by increasing activity of the basolateral Na⁺/Ca²⁺ exchanger in the distal tubule,Blocks calcium-sensing receptors in the thick ascending limb of the loop of Henle,"Similar-looking mechanism/class, but not the best match for the board clue."
